# T (K)               Helmholtz Free Energy (Ry.)
# V= 194.9260000000000
    0.00    -105.6137912906875
    0.00    -105.6137912906875
   20.00    -105.6137914998266
   30.00    -105.6137925321186
   40.00    -105.6137958250724
   50.00    -105.6138036168094
   60.00    -105.6138184854139
   70.00    -105.6138428889471
   80.00    -105.6138789056041
   90.00    -105.6139281509401
  100.00    -105.6139917977028
  110.00    -105.6140706392542
  120.00    -105.6141651630795
  130.00    -105.6142756190523
  140.00    -105.6144020770943
  150.00    -105.6145444735433
  160.00    -105.6147026474138
  170.00    -105.6148763682738
  180.00    -105.6150653574409
  190.00    -105.6152693039696
  200.00    -105.6154878766325
  210.00    -105.6157207328418
  220.00    -105.6159675252475
  230.00    -105.6162279065748
  240.00    -105.6165015331312
  250.00    -105.6167880673077
  260.00    -105.6170871793250
  270.00    -105.6173985484089
  280.00    -105.6177218635399
  290.00    -105.6180568238839
  300.00    -105.6184031389862
  310.00    -105.6187605287910
  320.00    -105.6191287235342
  330.00    -105.6195074635446
  340.00    -105.6198964989815
  350.00    -105.6202955895288
  360.00    -105.6207045040615
  370.00    -105.6211230202964
  380.00    -105.6215509244345
  390.00    -105.6219880108042
  400.00    -105.6224340815067
  410.00    -105.6228889460703
  420.00    -105.6233524211132
  430.00    -105.6238243300184
  440.00    -105.6243045026209
  450.00    -105.6247927749078
  460.00    -105.6252889887317
  470.00    -105.6257929915377
  480.00    -105.6263046361030
  490.00    -105.6268237802901
  500.00    -105.6273502868116
  510.00    -105.6278840230079
  520.00    -105.6284248606360
  530.00    -105.6289726756689
  540.00    -105.6295273481068
  550.00    -105.6300887617966
  560.00    -105.6306568042621
  570.00    -105.6312313665429
  580.00    -105.6318123430413
  590.00    -105.6323996313779
  600.00    -105.6329931322542
  610.00    -105.6335927493226
  620.00    -105.6341983890630
  630.00    -105.6348099606661
  640.00    -105.6354273759220
  650.00    -105.6360505491152
  660.00    -105.6366793969243
  670.00    -105.6373138383270
  680.00    -105.6379537945100
  690.00    -105.6385991887828
  700.00    -105.6392499464962
  710.00    -105.6399059949645
  720.00    -105.6405672633916
  730.00    -105.6412336828005
  740.00    -105.6419051859664
  750.00    -105.6425817073521
  760.00    -105.6432631830477
  770.00    -105.6439495507119
  780.00    -105.6446407495169
  790.00    -105.6453367200949
  800.00    -105.6460374044877
  810.00    -105.6467427460981
  820.00    -105.6474526896441
  830.00    -105.6481671811140
  840.00    -105.6488861677245
  850.00    -105.6496095978799
  860.00    -105.6503374211334
  870.00    -105.6510695881502
  880.00    -105.6518060506712
  890.00    -105.6525467614796
  900.00    -105.6532916743674
  910.00    -105.6540407441048
  920.00    -105.6547939264093
  930.00    -105.6555511779171
  940.00    -105.6563124561553
  950.00    -105.6570777195150
  960.00    -105.6578469272258
  970.00    -105.6586200393311
  980.00    -105.6593970166640
  990.00    -105.6601778208252
 1000.00    -105.6609624141602
 1010.00    -105.6617507597384
 1020.00    -105.6625428213332
 1030.00    -105.6633385634015
 1040.00    -105.6641379510655
 1050.00    -105.6649409500940
 1060.00    -105.6657475268850
