 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    1,   3, 300,   0,   1
 # Q, deltaE, Total
    0.050000,    0.099997,    0.121188
    0.050000,    0.199993,    0.129586
    0.050000,    0.299990,    0.137815
    0.050000,    0.399986,    0.145781
    0.050000,    0.499983,    0.153393
    0.050000,    0.599979,    0.160563
    0.050000,    0.699976,    0.167209
    0.050000,    0.799973,   -1.000000
    0.050000,    0.899969,   -1.000000
    0.050000,    0.999966,   -1.000000
    0.050000,    1.099962,   -1.000000
    0.050000,    1.199959,   -1.000000
    0.050000,    1.299955,   -1.000000
    0.050000,    1.399952,   -1.000000
    0.050000,    1.499949,   -1.000000
    0.050000,    1.599945,   -1.000000
    0.050000,    1.699942,   -1.000000
    0.050000,    1.799938,   -1.000000
    0.050000,    1.899935,   -1.000000
    0.050000,    1.999931,   -1.000000
    0.050000,    2.099928,   -1.000000
    0.050000,    2.199925,   -1.000000
    0.050000,    2.299921,   -1.000000
    0.050000,    2.399918,   -1.000000
    0.050000,    2.499914,   -1.000000
    0.050000,    2.599911,   -1.000000
    0.050000,    2.699907,   -1.000000
    0.050000,    2.799904,   -1.000000
    0.050000,    2.899901,   -1.000000
    0.050000,    2.999897,   -1.000000
    0.050000,    3.099894,   -1.000000
    0.050000,    3.199890,   -1.000000
    0.050000,    3.299887,   -1.000000
    0.050000,    3.399883,   -1.000000
    0.050000,    3.499880,   -1.000000
    0.050000,    3.599876,   -1.000000
    0.050000,    3.699873,   -1.000000
    0.050000,    3.799870,   -1.000000
    0.050000,    3.899866,   -1.000000
    0.050000,    3.999863,   -1.000000
    0.050000,    4.099859,   -1.000000
    0.050000,    4.199856,   -1.000000
    0.050000,    4.299852,   -1.000000
    0.050000,    4.399849,   -1.000000
    0.050000,    4.499846,   -1.000000
    0.050000,    4.599842,   -1.000000
    0.050000,    4.699839,   -1.000000
    0.050000,    4.799835,   -1.000000
    0.050000,    4.899832,   -1.000000
    0.050000,    4.999828,   -1.000000
    0.050000,    5.099825,   -1.000000
    0.050000,    5.199822,   -1.000000
    0.050000,    5.299818,   -1.000000
    0.050000,    5.399815,   -1.000000
    0.050000,    5.499811,   -1.000000
    0.050000,    5.599808,   -1.000000
    0.050000,    5.699804,   -1.000000
    0.050000,    5.799801,   -1.000000
    0.050000,    5.899798,   -1.000000
    0.050000,    5.999794,   -1.000000
    0.050000,    6.099791,   -1.000000
    0.050000,    6.199787,   -1.000000
    0.050000,    6.299784,   -1.000000
    0.050000,    6.399780,   -1.000000
    0.050000,    6.499777,   -1.000000
    0.050000,    6.599774,   -1.000000
    0.050000,    6.699770,   -1.000000
    0.050000,    6.799767,   -1.000000
    0.050000,    6.899763,   -1.000000
    0.050000,    6.999760,   -1.000000
    0.050000,    7.099756,   -1.000000
    0.050000,    7.199753,   -1.000000
    0.050000,    7.299750,   -1.000000
    0.050000,    7.399746,   -1.000000
    0.050000,    7.499743,   -1.000000
    0.050000,    7.599739,   -1.000000
    0.050000,    7.699736,   -1.000000
    0.050000,    7.799732,   -1.000000
    0.050000,    7.899729,   -1.000000
    0.050000,    7.999726,   -1.000000
    0.050000,    8.099722,   -1.000000
    0.050000,    8.199719,   -1.000000
    0.050000,    8.299715,   -1.000000
    0.050000,    8.399712,   -1.000000
    0.050000,    8.499708,   -1.000000
    0.050000,    8.599705,   -1.000000
    0.050000,    8.699702,   -1.000000
    0.050000,    8.799698,   -1.000000
    0.050000,    8.899695,   -1.000000
    0.050000,    8.999691,   -1.000000
    0.050000,    9.099688,   -1.000000
    0.050000,    9.199684,   -1.000000
    0.050000,    9.299681,   -1.000000
    0.050000,    9.399678,   -1.000000
    0.050000,    9.499674,   -1.000000
    0.050000,    9.599671,   -1.000000
    0.050000,    9.699667,   -1.000000
    0.050000,    9.799664,   -1.000000
    0.050000,    9.899660,   -1.000000
    0.050000,    9.999657,   -1.000000
    0.050000,   10.099653,   -1.000000
    0.050000,   10.199650,   -1.000000
    0.050000,   10.299647,   -1.000000
    0.050000,   10.399643,   -1.000000
    0.050000,   10.499640,   -1.000000
    0.050000,   10.599636,   -1.000000
